Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,NASDAQ Symbol,NextShares
Y,ASTC,Astrotech Corporation - Common Stock,Q,S,N,100,N,D,ASTC,N
Y,ASTE,"Astec Industries, Inc. - Common Stock",Q,Q,N,100,N,N,ASTE,N
Y,ASUR,Asure Software Inc - Common Stock,Q,S,N,100,N,N,ASUR,N
Y,ASYS,"Amtech Systems, Inc. - Common Stock",Q,Q,N,100,N,N,ASYS,N
Y,ATAX,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,Q,N,100,N,N,ATAX,N
Y,ATCX,"Atlas Technical Consultants, Inc. - Class A Common Stock",Q,G,N,100,N,N,ATCX,N
Y,ATEC,"Alphatec Holdings, Inc. - Common Stock",Q,Q,N,100,N,N,ATEC,N
Y,ATEX,Anterix Inc. - Common Stock,Q,S,N,100,N,N,ATEX,N
Y,ATHE,Alterity Therapeutics Limited - American Depositary Shares,Q,S,N,100,N,D,ATHE,N
Y,ATHX,"Athersys, Inc. - Common Stock",Q,S,N,100,N,N,ATHX,N
Y,ATIF,ATIF Holdings Limited - Ordinary Shares,Q,S,N,100,N,N,ATIF,N
Y,ATLC,Atlanticus Holdings Corporation - Common Stock,Q,Q,N,100,N,N,ATLC,N
Y,ATLO,Ames National Corporation - Common Stock,Q,S,N,100,N,N,ATLO,N
Y,ATNI,"ATN International, Inc. - Common Stock",Q,Q,N,100,N,N,ATNI,N
Y,ATNX,"Athenex, Inc. - Common Stock",Q,Q,N,100,N,N,ATNX,N
Y,ATOM,Atomera Incorporated - Common Stock,Q,S,N,100,N,N,ATOM,N
